country,lifeExp,pop
Afghanistan,0.09804605722260995,0.024035449508012313
Albania,0.8562456385205864,0.0025794361144068816
Algeria,0.7603628750872297,0.025130110898458805
Angola,0.07252849499883707,0.009268903890286555
Argentina,0.830588508955571,0.030415509547852767
Australia,0.96817864619679,0.015346871416368263
Austria,0.9354733658990463,0.006067731524018741
Bahrain,0.8379157943707841,0.000386045023268956
Bangladesh,0.5687136543382182,0.11395573631581471
Belgium,0.9264480111653876,0.007730583559506114
Benin,0.39811584089323115,0.005975603713216537
Bolivia,0.6034193998604328,0.006765024275991764
Bosnia and Herzegovina,0.8197022563386837,0.003301231258395777
Botswana,0.25854849965108173,0.0010918240398450122
Brazil,0.7624331239823215,0.14396165409172876
Bulgaria,0.7767387764596417,0.005402630300762418
Burkina Faso,0.2949988369388231,0.010714297007021286
Burundi,0.23184461502675047,0.006212384071844259
Cambodia,0.4677832053966039,0.010566896605352101
Cameroon,0.2516166550360549,0.013270331994601644
Canada,0.9546406140963016,0.025173285499632072
Central African Republic,0.11928355431495719,0.0031623140875412245
Chad,0.25675738543847426,0.007614223363855674
Chile,0.9057920446615492,0.012199744473559466
China,0.7757152826238661,0.9999999999999999
Colombia,0.7740404745289603,0.033392886928293695
Comoros,0.5940683879972087,0.00038785543649689776
"Congo, Dem. Rep.",0.1593161200279135,0.048849438896701805
"Congo, Rep.",0.3654105605954875,0.0027311915193248483
Costa Rica,0.9111188648522913,0.0029839622181640057
Cote d'Ivoire,0.20272156315422196,0.013510847705197363
Croatia,0.8405443126308446,0.0032565693424592124
Cuba,0.8992789020702489,0.008507810568253012
Czech Republic,0.857711095603629,0.0076065911106873545
Denmark,0.90065131425913,0.003995909643214751
Djibouti,0.3530588508955571,0.00022510330707456238
Dominican Republic,0.7588276343335661,0.00691707016614907
Ecuador,0.8230053500814144,0.010281585492130199
Egypt,0.7379623168178652,0.06072503976551419
El Salvador,0.7505233775296581,0.005112016125416606
Equatorial Guinea,0.2783438008839264,0.0002666866862318158
Eritrea,0.4286345661781811,0.003570015050859373
Ethiopia,0.3101651546871368,0.05787884870463648
Finland,0.9234705745522217,0.003821724682205488
France,0.954733658990463,0.04617754883923968
Gabon,0.3982786694580135,0.0009520695433919481
Gambia,0.46138636892300544,0.0011291608736887985
Germany,0.925633868341475,0.062345426347866884
Ghana,0.47473831123517096,0.017196846761945526
Greece,0.9274249825540825,0.007968784489552325
Guatemala,0.7128634566178181,0.009384530667591198
Guinea,0.3813444987206328,0.0073935205668559
Guinea-Bissau,0.1575947894859272,0.0009650951138890877
Haiti,0.4955338450802512,0.006297564507209535
Honduras,0.7114445219818565,0.005524668231404215
"Hong Kong, China",0.9908118167015586,0.005142903125121131
Hungary,0.7844847638985818,0.00739981112710414
Iceland,0.9803210048848571,7.762857758956723e-05
India,0.5835077925098863,0.8420255070962711
Indonesia,0.7219585950220985,0.16939720377255196
Iran,0.7292626192137707,0.05252548864439084
Iraq,0.4636427076064201,0.02070565058114412
Ireland,0.9135147708769483,0.002965154246975694
Israel,0.9567806466620147,0.004722925937040744
Italy,0.9521516631774835,0.04395060935752297
Jamaica,0.7665503605489649,0.001957212939507684
Japan,0.9999999999999999,0.09652634360540133
Jordan,0.7658060013956735,0.0044396565634123135
Kenya,0.3372179576645732,0.02685706536595254
"Korea, Dem. Rep.",0.643963712491277,0.017521755639816616
"Korea, Rep.",0.9074203303093745,0.03704650863678564
Kuwait,0.8833449639451042,0.0017489638438915726
Lebanon,0.7531984182367993,0.002822711813999871
Lesotho,0.06929518492672715,0.0013751176837806457
Liberia,0.1410793207722726,0.002271065934000599
Libya,0.7987671551523611,0.004427309803069764
Madagascar,0.461270062805304,0.014386281478253778
Malawi,0.2021400325657129,0.009956514306579685
Malaysia,0.8054896487555246,0.01867426227369363
Mali,0.3455222144684812,0.008974109912972086
Mauritania,0.571086299139335,0.0023288012026016097
Mauritius,0.7719934868574089,0.0007973577116777865
Mexico,0.8509420795533845,0.08229250544358531
Mongolia,0.6324726680623401,0.002028503174681705
Montenegro,0.8125145382647129,0.00036796591974384157
Morocco,0.7339148639218424,0.02545166137257065
Mozambique,0.057431960921144554,0.014980905521627388
Myanmar,0.5223540358222843,0.0360735651123047
Namibia,0.3092114445219821,0.0014072993526850438
Nepal,0.562270295417539,0.021769108699445348
Netherlands,0.9339148639218423,0.012416563262959623
New Zealand,0.9441963247266806,0.002970224465839871
Nicaragua,0.774273086764364,0.004153087186451342
Niger,0.40134915096534074,0.009628702851656507
Nigeria,0.16855082577343572,0.10226262464531059
Norway,0.9440102349383578,0.0033586669403922473
Oman,0.8380321004884858,0.0022793747219822086
Pakistan,0.6017678529890674,0.128231438482215
Panama,0.8356361944638283,0.0023076465960855845
Paraguay,0.747592463363573,0.0049053081943079
Peru,0.7398929983717145,0.02159691617896805
Philippines,0.7461037450569902,0.06892593409645181
Poland,0.8362409862758783,0.0290626780736615
Portugal,0.8952081879506862,0.007920657987262499
Puerto Rico,0.910281460804839,0.0028388007523343197
Reunion,0.856687601767853,0.0004539419661171236
Romania,0.7644335892067923,0.016743839961102826
Rwanda,0.1541986508490346,0.006568917160001174
Sao Tome and Principe,0.6028146080483835,0.0
Saudi Arabia,0.7714352174924403,0.020782557117094393
Senegal,0.54545243079786,0.00915287437757176
Serbia,0.799930216329379,0.007547068940718505
Sierra Leone,0.06873691556175887,0.004508955116501468
Singapore,0.9387997208653175,0.003301846358993959
Slovak Republic,0.8153058850895557,0.003980271980904862
Slovenia,0.8912072575017448,0.001372535929851901
Somalia,0.19879041637590145,0.006764736824540826
South Africa,0.22623866015352412,0.03321865494356423
Spain,0.9613398464759247,0.030526443054501983
Sri Lanka,0.7625726913235636,0.015304446160929897
Sudan,0.4406373575250059,0.03192557924104864
Swaziland,0.0,0.0007080005081322529
Sweden,0.9600139567341243,0.006698232390568444
Switzerland,0.9790183763665975,0.005578440613907196
Syria,0.8032100488485695,0.014497843737548977
Taiwan,0.9022330774598747,0.01742510596740361
Tanzania,0.3001628285647827,0.02877552924311605
Thailand,0.7211677134217261,0.04919937880421754
Togo,0.43747383112351723,0.004172975944757298
Trinidad and Tobago,0.7026285182600606,0.0006500111597527085
Tunisia,0.7980925796696908,0.007642552121491558
Turkey,0.7481739939520821,0.053818699350490246
Uganda,0.27748313561293336,0.021972833658109352
United Kingdom,0.9260758315887415,0.045944191352374715
United States,0.8985578041404979,0.22824734941301505
Uruguay,0.8553384508025123,0.0024633732300196813
Venezuela,0.7939986043265878,0.0196324661372312
Vietnam,0.8056757385438474,0.06451561654221272
West Bank and Gaza,0.7864387066759712,0.0028963221388531015
"Yemen, Rep.",0.5369853454291696,0.01669506195275401
Zambia,0.06445685043033256,0.008757376069647141
Zimbabwe,0.09011397999534776,0.009185980593491181
